# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-02-23 17:24:01 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11224000 MF SAN JOAQUIN R NR MAMMOTH LAKES CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11224000
#            TS   parameter     statistic     Description
#          9329       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	9329_00060_00003	9329_00060_00003_cd
USGS	11224000	2010-02-06		
USGS	11224000	2010-02-07		
USGS	11224000	2010-02-08		
USGS	11224000	2010-02-09		
USGS	11224000	2010-02-10		
USGS	11224000	2010-02-11		
USGS	11224000	2010-02-12		
USGS	11224000	2010-02-13		
USGS	11224000	2010-02-14		
USGS	11224000	2010-02-15		
USGS	11224000	2010-02-16		
USGS	11224000	2010-02-17		
USGS	11224000	2010-02-18		
USGS	11224000	2010-02-19		
USGS	11224000	2010-02-20		
USGS	11224000	2010-02-21		
USGS	11224000	2010-02-22		
USGS	11224000	2010-02-23		
USGS	11224000	2010-02-24		
USGS	11224000	2010-02-25		
USGS	11224000	2010-02-26		
USGS	11224000	2010-02-27		
USGS	11224000	2010-02-28		
USGS	11224000	2010-03-01		
USGS	11224000	2010-03-02		
USGS	11224000	2010-03-03		
USGS	11224000	2010-03-04		
USGS	11224000	2010-03-05		
USGS	11224000	2010-03-06		
USGS	11224000	2010-03-07		
USGS	11224000	2010-03-08		
USGS	11224000	2010-03-09		
USGS	11224000	2010-03-10		
USGS	11224000	2010-03-11		
USGS	11224000	2010-03-12		
USGS	11224000	2010-03-13		
USGS	11224000	2010-03-14		
USGS	11224000	2010-03-15		
USGS	11224000	2010-03-16		
USGS	11224000	2010-03-17		
USGS	11224000	2010-03-18		
USGS	11224000	2010-03-19		
USGS	11224000	2010-03-20		
USGS	11224000	2010-03-21		
USGS	11224000	2010-03-22		
USGS	11224000	2010-03-23		
USGS	11224000	2010-03-24		
USGS	11224000	2010-03-25		
USGS	11224000	2010-03-26		
USGS	11224000	2010-03-27		
USGS	11224000	2010-03-28		
USGS	11224000	2010-03-29		
USGS	11224000	2010-03-30		
USGS	11224000	2010-03-31		
USGS	11224000	2010-04-01		
USGS	11224000	2010-04-02		
USGS	11224000	2010-04-03		
USGS	11224000	2010-04-04		
USGS	11224000	2010-04-05		
USGS	11224000	2010-04-06		
USGS	11224000	2010-04-07		
USGS	11224000	2010-04-08		
USGS	11224000	2010-04-09		
USGS	11224000	2010-04-10		
USGS	11224000	2010-04-11		
USGS	11224000	2010-04-12		
USGS	11224000	2010-04-13		
USGS	11224000	2010-04-14		
USGS	11224000	2010-04-15		
USGS	11224000	2010-04-16	77.4	A
USGS	11224000	2010-04-17	95.9	A
USGS	11224000	2010-04-18	111	A
USGS	11224000	2010-04-19	123	A
USGS	11224000	2010-04-20	141	A
USGS	11224000	2010-04-21	113	A
USGS	11224000	2010-04-22	92.9	A
USGS	11224000	2010-04-23	85.6	A
USGS	11224000	2010-04-24	96.3	A
USGS	11224000	2010-04-25	136	A
USGS	11224000	2010-04-26	181	A
USGS	11224000	2010-04-27	204	A
USGS	11224000	2010-04-28	157	A
USGS	11224000	2010-04-29	125	A
USGS	11224000	2010-04-30	107	A
USGS	11224000	2010-05-01	107	A
USGS	11224000	2010-05-02	134	A
USGS	11224000	2010-05-03	177	A
USGS	11224000	2010-05-04	265	A
USGS	11224000	2010-05-05	295	A
USGS	11224000	2010-05-06	290	A
USGS	11224000	2010-05-07	305	A
USGS	11224000	2010-05-08	324	A
USGS	11224000	2010-05-09	291	A
USGS	11224000	2010-05-10	217	A
USGS	11224000	2010-05-11	177	A
USGS	11224000	2010-05-12	166	A
USGS	11224000	2010-05-13	184	A
USGS	11224000	2010-05-14	209	A
USGS	11224000	2010-05-15	285	A
USGS	11224000	2010-05-16	383	A
USGS	11224000	2010-05-17	377	A
USGS	11224000	2010-05-18	298	A
USGS	11224000	2010-05-19	353	A
USGS	11224000	2010-05-20	467	A
USGS	11224000	2010-05-21	445	A
USGS	11224000	2010-05-22	308	A
USGS	11224000	2010-05-23	239	A
USGS	11224000	2010-05-24	194	A
USGS	11224000	2010-05-25	181	A
USGS	11224000	2010-05-26	190	A
USGS	11224000	2010-05-27	187	A
USGS	11224000	2010-05-28	173	A
USGS	11224000	2010-05-29	176	A
USGS	11224000	2010-05-30	249	A
USGS	11224000	2010-05-31	360	A
USGS	11224000	2010-06-01	468	A
USGS	11224000	2010-06-02	585	A
USGS	11224000	2010-06-03	741	A
USGS	11224000	2010-06-04	983	A
USGS	11224000	2010-06-05	1210	A
USGS	11224000	2010-06-06	1340	A
USGS	11224000	2010-06-07	1400	A
USGS	11224000	2010-06-08	1210	A
USGS	11224000	2010-06-09	1110	A
USGS	11224000	2010-06-10	939	A
USGS	11224000	2010-06-11	666	A
USGS	11224000	2010-06-12	462	A
USGS	11224000	2010-06-13	453	A
USGS	11224000	2010-06-14	546	A
USGS	11224000	2010-06-15	738	A
USGS	11224000	2010-06-16	715	A
USGS	11224000	2010-06-17	580	A
USGS	11224000	2010-06-18	585	A
USGS	11224000	2010-06-19	556	A
USGS	11224000	2010-06-20	567	A
USGS	11224000	2010-06-21	595	A
USGS	11224000	2010-06-22	574	A
USGS	11224000	2010-06-23	657	A
USGS	11224000	2010-06-24	642	A
USGS	11224000	2010-06-25	676	A
USGS	11224000	2010-06-26	709	A
USGS	11224000	2010-06-27	777	A
USGS	11224000	2010-06-28	813	A
USGS	11224000	2010-06-29	784	A
USGS	11224000	2010-06-30	744	A
USGS	11224000	2010-07-01	626	A
USGS	11224000	2010-07-02	516	A
USGS	11224000	2010-07-03	489	A
USGS	11224000	2010-07-04	454	A
USGS	11224000	2010-07-05	437	A
USGS	11224000	2010-07-06	456	A
USGS	11224000	2010-07-07	454	A
USGS	11224000	2010-07-08	433	A
USGS	11224000	2010-07-09	426	A
USGS	11224000	2010-07-10	416	A
USGS	11224000	2010-07-11	405	A
USGS	11224000	2010-07-12	402	A
USGS	11224000	2010-07-13	448	A
USGS	11224000	2010-07-14	418	A
USGS	11224000	2010-07-15	362	A
USGS	11224000	2010-07-16	407	A
USGS	11224000	2010-07-17	446	A
USGS	11224000	2010-07-18	392	A
USGS	11224000	2010-07-19	351	A
USGS	11224000	2010-07-20	294	A
USGS	11224000	2010-07-21	267	A
USGS	11224000	2010-07-22	221	A
USGS	11224000	2010-07-23	206	A
USGS	11224000	2010-07-24	197	A
USGS	11224000	2010-07-25	195	A
USGS	11224000	2010-07-26	195	A
USGS	11224000	2010-07-27	172	A
USGS	11224000	2010-07-28	140	A
USGS	11224000	2010-07-29	134	A
USGS	11224000	2010-07-30	153	A
USGS	11224000	2010-07-31	149	A
USGS	11224000	2010-08-01	123	A
USGS	11224000	2010-08-02	106	A
USGS	11224000	2010-08-03	96.8	A
USGS	11224000	2010-08-04	87.4	A
USGS	11224000	2010-08-05	83.3	A
USGS	11224000	2010-08-06	79.8	A
USGS	11224000	2010-08-07	74.5	A
USGS	11224000	2010-08-08	77.6	A
USGS	11224000	2010-08-09	75.4	A
USGS	11224000	2010-08-10	64.9	A
USGS	11224000	2010-08-11	61.7	A
USGS	11224000	2010-08-12	56.9	A
USGS	11224000	2010-08-13	54.6	A
USGS	11224000	2010-08-14	57.1	A
USGS	11224000	2010-08-15	59.5	A
USGS	11224000	2010-08-16	55.4	A
USGS	11224000	2010-08-17	52.0	A
USGS	11224000	2010-08-18	48.5	A
USGS	11224000	2010-08-19	48.7	A
USGS	11224000	2010-08-20	49.8	A
USGS	11224000	2010-08-21	45.3	A
USGS	11224000	2010-08-22	39.9	A
USGS	11224000	2010-08-23	39.5	A
USGS	11224000	2010-08-24	36.5	A
USGS	11224000	2010-08-25	34.2	A
USGS	11224000	2010-08-26	37.3	A
USGS	11224000	2010-08-27	47.0	A
USGS	11224000	2010-08-28	44.6	A
USGS	11224000	2010-08-29	35.7	A
USGS	11224000	2010-08-30	30.7	A
USGS	11224000	2010-08-31	26.5	A
USGS	11224000	2010-09-01	23.9	A
USGS	11224000	2010-09-02	22.7	A
USGS	11224000	2010-09-03	23.2	A
USGS	11224000	2010-09-04	24.7	A
USGS	11224000	2010-09-05	24.9	A
USGS	11224000	2010-09-06	23.6	A
USGS	11224000	2010-09-07	22.9	A
USGS	11224000	2010-09-08	22.9	A
USGS	11224000	2010-09-09	22.0	A
USGS	11224000	2010-09-10	19.7	A
USGS	11224000	2010-09-11	17.9	A
USGS	11224000	2010-09-12	16.8	A
USGS	11224000	2010-09-13	16.5	A
USGS	11224000	2010-09-14	16.1	A
USGS	11224000	2010-09-15	15.9	A
USGS	11224000	2010-09-16	15.5	A
USGS	11224000	2010-09-17	15.2	A
USGS	11224000	2010-09-18	14.9	A
USGS	11224000	2010-09-19	14.6	A
USGS	11224000	2010-09-20	14.4	A
USGS	11224000	2010-09-21	14.0	A
USGS	11224000	2010-09-22	13.8	A
USGS	11224000	2010-09-23	14.1	A
USGS	11224000	2010-09-24	13.5	A
USGS	11224000	2010-09-25	12.9	A
USGS	11224000	2010-09-26	12.6	A
USGS	11224000	2010-09-27	12.4	A
USGS	11224000	2010-09-28	12.2	A
USGS	11224000	2010-09-29	12.2	A
USGS	11224000	2010-09-30	12.5	A
USGS	11224000	2010-10-01	12.9	A
USGS	11224000	2010-10-02	14.0	A
USGS	11224000	2010-10-03	19.2	A
USGS	11224000	2010-10-04	46.8	A
USGS	11224000	2010-10-05	56.1	A
USGS	11224000	2010-10-06	47.8	A
USGS	11224000	2010-10-07	39.9	A
USGS	11224000	2010-10-08	37.4	A
USGS	11224000	2010-10-09	36.3	A
USGS	11224000	2010-10-10	35.3	A
USGS	11224000	2010-10-11	39.1	A
USGS	11224000	2010-10-12	42.3	A
USGS	11224000	2010-10-13	40.5	A
USGS	11224000	2010-10-14	36.1	A
USGS	11224000	2010-10-15	32.3	A
USGS	11224000	2010-10-16	29.4	A
USGS	11224000	2010-10-17	30.0	A
USGS	11224000	2010-10-18	39.6	A
USGS	11224000	2010-10-19	44.4	A
USGS	11224000	2010-10-20	40.3	A
USGS	11224000	2010-10-21	37.0	A
USGS	11224000	2010-10-22	35.7	A
USGS	11224000	2010-10-23	36.5	A
USGS	11224000	2010-10-24	174	A
USGS	11224000	2010-10-25	408	A
USGS	11224000	2010-10-26	155	A
USGS	11224000	2010-10-27	103	A
USGS	11224000	2010-10-28	80.2	A
USGS	11224000	2010-10-29	63.0	A
USGS	11224000	2010-10-30	57.2	A
USGS	11224000	2010-10-31	51.4	A
USGS	11224000	2010-11-01	47.2	A
USGS	11224000	2010-11-02	45.7	A
USGS	11224000	2010-11-03	47.4	A
USGS	11224000	2010-11-04	49.3	A
USGS	11224000	2010-11-05	48.8	A
USGS	11224000	2010-11-06	46.1	A
USGS	11224000	2010-11-07	46.5	A
USGS	11224000	2010-11-08	54.6	A
USGS	11224000	2010-11-09	52.0	A
USGS	11224000	2010-11-10	50.3	A
USGS	11224000	2010-11-11	46.5	A
USGS	11224000	2010-11-12	47.6	A
USGS	11224000	2010-11-13	43.6	A
USGS	11224000	2010-11-14	44.0	A
USGS	11224000	2010-11-15	47.7	A
USGS	11224000	2010-11-16	46.1	A
USGS	11224000	2010-11-17	41.9	A
USGS	11224000	2010-11-18	39.6	A
USGS	11224000	2010-11-19	35.6	A
USGS	11224000	2010-11-20	34.9	A:e
USGS	11224000	2010-11-21	46.4	A:e
USGS	11224000	2010-11-22	57.2	A:e
USGS	11224000	2010-11-23	62.1	A:e
USGS	11224000	2010-11-24	58.7	A:e
USGS	11224000	2010-11-25	54.6	A:e
USGS	11224000	2010-11-26	53.5	A:e
USGS	11224000	2010-11-27	53.0	A:e
USGS	11224000	2010-11-28	54.0	A:e
USGS	11224000	2010-11-29	54.3	A:e
USGS	11224000	2010-11-30	53.0	A:e
USGS	11224000	2010-12-01	51.6	A
USGS	11224000	2010-12-02	45.3	A
USGS	11224000	2010-12-03	42.2	A
USGS	11224000	2010-12-04	39.8	A
USGS	11224000	2010-12-05	39.6	A
USGS	11224000	2010-12-06	46.7	A
USGS	11224000	2010-12-07	49.5	A
USGS	11224000	2010-12-08	46.6	A
USGS	11224000	2010-12-09	52.8	A
USGS	11224000	2010-12-10	59.7	A
USGS	11224000	2010-12-11	54.7	A
USGS	11224000	2010-12-12	53.8	A
USGS	11224000	2010-12-13	55.5	A
USGS	11224000	2010-12-14	54.7	A
USGS	11224000	2010-12-15	65.2	A:e
USGS	11224000	2010-12-16	51.1	A
USGS	11224000	2010-12-17	60.9	A
USGS	11224000	2010-12-18	71.9	A:e
USGS	11224000	2010-12-19	70.1	A:e
USGS	11224000	2010-12-20	80.1	A:e
USGS	11224000	2010-12-21	99.5	A:e
USGS	11224000	2010-12-22	103	A:e
USGS	11224000	2010-12-23	98.0	A:e
USGS	11224000	2010-12-24	101	A:e
USGS	11224000	2010-12-25	95.9	A:e
USGS	11224000	2010-12-26	88.4	A:e
USGS	11224000	2010-12-27	74.3	A:e
USGS	11224000	2010-12-28	65.6	A:e
USGS	11224000	2010-12-29	63.7	A:e
USGS	11224000	2010-12-30	62.3	A:e
USGS	11224000	2010-12-31	63.2	A:e
USGS	11224000	2011-01-01	66.1	A:e
USGS	11224000	2011-01-02	62.3	A:e
USGS	11224000	2011-01-03	64.2	A:e
USGS	11224000	2011-01-04	65.6	A:e
USGS	11224000	2011-01-05	67.7	A
USGS	11224000	2011-01-06	63.3	A
USGS	11224000	2011-01-07	60.2	A
USGS	11224000	2011-01-08	52.7	A
USGS	11224000	2011-01-09	47.4	A
USGS	11224000	2011-01-10	45.6	A
USGS	11224000	2011-01-11	44.0	A
USGS	11224000	2011-01-12	41.7	A
USGS	11224000	2011-01-13	38.7	A
USGS	11224000	2011-01-14	36.3	A
USGS	11224000	2011-01-15	35.9	A
USGS	11224000	2011-01-16	38.4	A
USGS	11224000	2011-01-17	42.8	A
USGS	11224000	2011-01-18	49.2	A
USGS	11224000	2011-01-19	48.7	A
USGS	11224000	2011-01-20	46.1	A
USGS	11224000	2011-01-21	45.8	A
USGS	11224000	2011-01-22	48.7	A
USGS	11224000	2011-01-23	49.2	A
USGS	11224000	2011-01-24	45.7	A
USGS	11224000	2011-01-25	44.3	A
USGS	11224000	2011-01-26	44.3	A
USGS	11224000	2011-01-27	46.0	A
USGS	11224000	2011-01-28	46.5	A
USGS	11224000	2011-01-29	47.8	A
USGS	11224000	2011-01-30	47.4	A
USGS	11224000	2011-01-31	47.5	A
USGS	11224000	2011-02-01	47.2	A
USGS	11224000	2011-02-02	56.4	A
USGS	11224000	2011-02-03	46.7	A
USGS	11224000	2011-02-04	39.1	A
USGS	11224000	2011-02-05	38.9	A
USGS	11224000	2011-02-06	39.5	A
USGS	11224000	2011-02-07	41.5	A
USGS	11224000	2011-02-08	42.8	A
USGS	11224000	2011-02-09	46.3	A
USGS	11224000	2011-02-10	51.2	A
USGS	11224000	2011-02-11	46.3	A
USGS	11224000	2011-02-12	40.2	A
USGS	11224000	2011-02-13	40.3	A
USGS	11224000	2011-02-14	39.4	A
USGS	11224000	2011-02-15	38.6	A
USGS	11224000	2011-02-16	51.4	A
USGS	11224000	2011-02-17	57.1	A:e
USGS	11224000	2011-02-18	59.5	A:e
USGS	11224000	2011-02-19	57.5	A:e
USGS	11224000	2011-02-20	57.1	A:e
USGS	11224000	2011-02-21	54.6	A:e
USGS	11224000	2011-02-22	53.4	A:e
USGS	11224000	2011-02-23	52.3	A:e
USGS	11224000	2011-02-24	50.2	A
USGS	11224000	2011-02-25	62.0	A:e
USGS	11224000	2011-02-26	55.4	A:e
USGS	11224000	2011-02-27	57.5	A:e
USGS	11224000	2011-02-28	56.6	A:e
USGS	11224000	2011-03-01	63.2	A:e
USGS	11224000	2011-03-02	63.6	A
USGS	11224000	2011-03-03	62.4	A
USGS	11224000	2011-03-04	53.8	A
USGS	11224000	2011-03-05	44.4	A
USGS	11224000	2011-03-06	41.3	A
USGS	11224000	2011-03-07	46.9	A
USGS	11224000	2011-03-08	45.8	A
USGS	11224000	2011-03-09	44.6	A
USGS	11224000	2011-03-10	46.0	A
USGS	11224000	2011-03-11	46.6	A
USGS	11224000	2011-03-12	47.6	A
USGS	11224000	2011-03-13	46.6	A
USGS	11224000	2011-03-14	44.5	A
USGS	11224000	2011-03-15	48.1	A
USGS	11224000	2011-03-16	67.5	A
USGS	11224000	2011-03-17	62.4	A
USGS	11224000	2011-03-18	54.4	A
USGS	11224000	2011-03-19	72.4	A
USGS	11224000	2011-03-20	69.5	A
USGS	11224000	2011-03-21	108	A
USGS	11224000	2011-03-22	99.4	A
USGS	11224000	2011-03-23	77.3	A
USGS	11224000	2011-03-24	72.8	A:e
USGS	11224000	2011-03-25	73.6	A:e
USGS	11224000	2011-03-26	68.7	A:e
USGS	11224000	2011-03-27	62.2	A:e
USGS	11224000	2011-03-28	67.4	A
USGS	11224000	2011-03-29	64.5	A
USGS	11224000	2011-03-30	69.6	A
USGS	11224000	2011-03-31	81.8	A
USGS	11224000	2011-04-01	114	A
USGS	11224000	2011-04-02	150	A
USGS	11224000	2011-04-03	142	A
USGS	11224000	2011-04-04	142	A
USGS	11224000	2011-04-05	173	A
USGS	11224000	2011-04-06	185	A
USGS	11224000	2011-04-07	163	A
USGS	11224000	2011-04-08	122	A
USGS	11224000	2011-04-09	104	A
USGS	11224000	2011-04-10	90.9	A
USGS	11224000	2011-04-11	90.4	A
USGS	11224000	2011-04-12	93.6	A
USGS	11224000	2011-04-13	94.9	A
USGS	11224000	2011-04-14	85.5	A
USGS	11224000	2011-04-15	89.5	A
USGS	11224000	2011-04-16	136	A
USGS	11224000	2011-04-17	205	A
USGS	11224000	2011-04-18	252	A
USGS	11224000	2011-04-19	243	A
USGS	11224000	2011-04-20	235	A
USGS	11224000	2011-04-21	179	A
USGS	11224000	2011-04-22	148	A
USGS	11224000	2011-04-23	132	A
USGS	11224000	2011-04-24	119	A
USGS	11224000	2011-04-25	114	A
USGS	11224000	2011-04-26	126	A
USGS	11224000	2011-04-27	151	A
USGS	11224000	2011-04-28	193	A
USGS	11224000	2011-04-29	191	A
USGS	11224000	2011-04-30	175	A
USGS	11224000	2011-05-01	164	A
USGS	11224000	2011-05-02	186	A
USGS	11224000	2011-05-03	247	A
USGS	11224000	2011-05-04	320	A
USGS	11224000	2011-05-05	415	A
USGS	11224000	2011-05-06	506	A
USGS	11224000	2011-05-07	491	A
USGS	11224000	2011-05-08	442	A
USGS	11224000	2011-05-09	301	A
USGS	11224000	2011-05-10	233	A
USGS	11224000	2011-05-11	225	A
USGS	11224000	2011-05-12	313	A
USGS	11224000	2011-05-13	442	A
USGS	11224000	2011-05-14	487	A
USGS	11224000	2011-05-15	396	A
USGS	11224000	2011-05-16	290	A
USGS	11224000	2011-05-17	236	A
USGS	11224000	2011-05-18	205	A
USGS	11224000	2011-05-19	177	A
USGS	11224000	2011-05-20	184	A
USGS	11224000	2011-05-21	248	A
USGS	11224000	2011-05-22	305	A
USGS	11224000	2011-05-23	323	A
USGS	11224000	2011-05-24	335	A
USGS	11224000	2011-05-25	356	A
USGS	11224000	2011-05-26	343	A
USGS	11224000	2011-05-27	416	A
USGS	11224000	2011-05-28	461	A
USGS	11224000	2011-05-29	348	A
USGS	11224000	2011-05-30	271	A
USGS	11224000	2011-05-31	252	A
USGS	11224000	2011-06-01	252	A
USGS	11224000	2011-06-02	228	A
USGS	11224000	2011-06-03	226	A
USGS	11224000	2011-06-04	221	A
USGS	11224000	2011-06-05	293	A
USGS	11224000	2011-06-06	319	A
USGS	11224000	2011-06-07	330	A
USGS	11224000	2011-06-08	436	A
USGS	11224000	2011-06-09	558	A
USGS	11224000	2011-06-10	647	A
USGS	11224000	2011-06-11	700	A
USGS	11224000	2011-06-12	725	A
USGS	11224000	2011-06-13	858	A
USGS	11224000	2011-06-14	953	A
USGS	11224000	2011-06-15	1030	A
USGS	11224000	2011-06-16	1090	A
USGS	11224000	2011-06-17	941	A
USGS	11224000	2011-06-18	872	A
USGS	11224000	2011-06-19	954	A
USGS	11224000	2011-06-20	928	A
USGS	11224000	2011-06-21	979	A
USGS	11224000	2011-06-22	1060	A
USGS	11224000	2011-06-23	1190	A
USGS	11224000	2011-06-24	1100	A
USGS	11224000	2011-06-25	895	A
USGS	11224000	2011-06-26	792	A
USGS	11224000	2011-06-27	785	A
USGS	11224000	2011-06-28	883	A
USGS	11224000	2011-06-29	1180	A
USGS	11224000	2011-06-30	742	A
USGS	11224000	2011-07-01	663	A
USGS	11224000	2011-07-02	749	A
USGS	11224000	2011-07-03	853	A
USGS	11224000	2011-07-04	872	A
USGS	11224000	2011-07-05	928	A
USGS	11224000	2011-07-06	833	A
USGS	11224000	2011-07-07	833	A
USGS	11224000	2011-07-08	792	A
USGS	11224000	2011-07-09	749	A
USGS	11224000	2011-07-10	680	A
USGS	11224000	2011-07-11	571	A
USGS	11224000	2011-07-12	525	A
USGS	11224000	2011-07-13	497	A
USGS	11224000	2011-07-14	465	A
USGS	11224000	2011-07-15	455	A
USGS	11224000	2011-07-16	437	A
USGS	11224000	2011-07-17	404	A
USGS	11224000	2011-07-18	386	A
USGS	11224000	2011-07-19	381	A
USGS	11224000	2011-07-20	363	A
USGS	11224000	2011-07-21	363	A
USGS	11224000	2011-07-22	353	A
USGS	11224000	2011-07-23	376	A
USGS	11224000	2011-07-24	394	A
USGS	11224000	2011-07-25	373	A
USGS	11224000	2011-07-26	333	A
USGS	11224000	2011-07-27	311	A
USGS	11224000	2011-07-28	310	A
USGS	11224000	2011-07-29	327	A
USGS	11224000	2011-07-30	373	A
USGS	11224000	2011-07-31	403	A
USGS	11224000	2011-08-01	351	A
USGS	11224000	2011-08-02	301	A
USGS	11224000	2011-08-03	264	A
USGS	11224000	2011-08-04	239	A
USGS	11224000	2011-08-05	218	A
USGS	11224000	2011-08-06	198	A
USGS	11224000	2011-08-07	188	A
USGS	11224000	2011-08-08	179	A
USGS	11224000	2011-08-09	173	A
USGS	11224000	2011-08-10	168	A
USGS	11224000	2011-08-11	159	A
USGS	11224000	2011-08-12	156	A
USGS	11224000	2011-08-13	152	A
USGS	11224000	2011-08-14	150	A
USGS	11224000	2011-08-15	156	A
USGS	11224000	2011-08-16	142	A
USGS	11224000	2011-08-17	126	A
USGS	11224000	2011-08-18	115	A
USGS	11224000	2011-08-19	122	A
USGS	11224000	2011-08-20	128	A
USGS	11224000	2011-08-21	119	A
USGS	11224000	2011-08-22	108	A
USGS	11224000	2011-08-23	102	A
USGS	11224000	2011-08-24	110	A
USGS	11224000	2011-08-25	123	A
USGS	11224000	2011-08-26	124	A
USGS	11224000	2011-08-27	123	A
USGS	11224000	2011-08-28	148	A
USGS	11224000	2011-08-29	135	A
USGS	11224000	2011-08-30	113	A
