# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-02-23 17:29:15 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11264500 MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11264500
#            TS   parameter     statistic     Description
#        234297       00010     00003     Temperature, water, degrees Celsius (Mean)
#          9529       00010     00001     Temperature, water, degrees Celsius (Maximum)
#          9530       00010     00002     Temperature, water, degrees Celsius (Minimum)
#          9531       00010     00008     Temperature, water, degrees Celsius (Median)
#          9532       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
#     4  Statistic computed from less than expected number of instantaneous values for the period
# 
agency_cd	site_no	datetime	234297_00010_00003	234297_00010_00003_cd	9529_00010_00001	9529_00010_00001_cd	9530_00010_00002	9530_00010_00002_cd	9531_00010_00008	9531_00010_00008_cd	9532_00060_00003	9532_00060_00003_cd
USGS	11264500	1915-09-29									24.0	A
USGS	11264500	1915-09-30									21.0	A
USGS	11264500	1915-10-01									23.0	A
USGS	11264500	1915-10-02									21.0	A
USGS	11264500	1915-10-03									18.0	A
USGS	11264500	1915-10-04									18.0	A
USGS	11264500	1915-10-05									17.0	A
USGS	11264500	1915-10-06									16.0	A
USGS	11264500	1915-10-07									14.0	A
USGS	11264500	1915-10-08									13.0	A
USGS	11264500	1915-10-09									13.0	A
USGS	11264500	1915-10-10									13.0	A
USGS	11264500	1915-10-11									13.0	A
USGS	11264500	1915-10-12									13.0	A
USGS	11264500	1915-10-13									13.0	A
USGS	11264500	1915-10-14									12.0	A
USGS	11264500	1915-10-15									12.0	A
USGS	11264500	1915-10-16									11.0	A
USGS	11264500	1915-10-17									9.00	A
USGS	11264500	1915-10-18									9.00	A
USGS	11264500	1915-10-19									9.00	A
USGS	11264500	1915-10-20									9.00	A
USGS	11264500	1915-10-21									9.00	A
USGS	11264500	1915-10-22									9.00	A
USGS	11264500	1915-10-23									9.00	A
USGS	11264500	1915-10-24									9.00	A
USGS	11264500	1915-10-25									7.20	A
USGS	11264500	1915-10-26									7.20	A
USGS	11264500	1915-10-27									7.20	A
USGS	11264500	1915-10-28									7.20	A
USGS	11264500	1915-10-29									6.20	A
USGS	11264500	1915-10-30									5.50	A
USGS	11264500	1915-10-31									5.50	A
USGS	11264500	1915-11-01									5.50	A
USGS	11264500	1915-11-02									5.50	A
USGS	11264500	1915-11-03									5.50	A
USGS	11264500	1915-11-04									5.50	A
USGS	11264500	1915-11-05									5.50	A
USGS	11264500	1915-11-06									5.50	A
USGS	11264500	1915-11-07									5.50	A
USGS	11264500	1915-11-08									5.50	A
USGS	11264500	1915-11-09									12.0	A
USGS	11264500	1915-11-10									9.00	A
USGS	11264500	1915-11-11									9.00	A
USGS	11264500	1915-11-12									9.00	A
USGS	11264500	1915-11-13									9.00	A
USGS	11264500	1915-11-14									9.00	A
USGS	11264500	1915-11-15									9.00	A
USGS	11264500	1915-11-16									9.00	A
USGS	11264500	1915-11-17									9.00	A
USGS	11264500	1915-11-18									9.00	A
USGS	11264500	1915-11-19									9.00	A
USGS	11264500	1915-11-20									9.00	A
USGS	11264500	1915-11-21									9.00	A
USGS	11264500	1915-11-22									9.00	A
USGS	11264500	1915-11-23									9.00	A
USGS	11264500	1915-11-24									9.00	A
USGS	11264500	1915-11-25									9.00	A
USGS	11264500	1915-11-26									9.00	A
USGS	11264500	1915-11-27									7.20	A
USGS	11264500	1915-11-28									9.00	A
USGS	11264500	1915-11-29									9.00	A
USGS	11264500	1915-11-30									9.00	A
USGS	11264500	1915-12-01									9.00	A
USGS	11264500	1915-12-02									11.0	A
USGS	11264500	1915-12-03									25.0	A
USGS	11264500	1915-12-04									23.0	A
USGS	11264500	1915-12-05									24.0	A
USGS	11264500	1915-12-06									24.0	A
USGS	11264500	1915-12-07									23.0	A
USGS	11264500	1915-12-08									25.0	A
USGS	11264500	1915-12-09									31.0	A
USGS	11264500	1915-12-10									28.0	A
USGS	11264500	1915-12-11									30.0	A
USGS	11264500	1915-12-12									28.0	A
USGS	11264500	1915-12-13									28.0	A
USGS	11264500	1915-12-14									42.0	A
USGS	11264500	1915-12-15									24.0	A
USGS	11264500	1915-12-16									28.0	A
USGS	11264500	1915-12-17									33.0	A
USGS	11264500	1915-12-18									31.0	A
USGS	11264500	1915-12-19									23.0	A
USGS	11264500	1915-12-20									25.0	A
USGS	11264500	1915-12-21									25.0	A
USGS	11264500	1915-12-22									31.0	A
USGS	11264500	1915-12-23									31.0	A
USGS	11264500	1915-12-24									31.0	A
USGS	11264500	1915-12-25									31.0	A
USGS	11264500	1915-12-26									27.0	A
USGS	11264500	1915-12-27									25.0	A
USGS	11264500	1915-12-28									25.0	A
USGS	11264500	1915-12-29									23.0	A
USGS	11264500	1915-12-30									19.0	A
USGS	11264500	1915-12-31									22.0	A
USGS	11264500	1916-01-01									21.0	A
USGS	11264500	1916-01-02									23.0	A
USGS	11264500	1916-01-03									33.0	A
USGS	11264500	1916-01-04									30.0	A
USGS	11264500	1916-01-05									32.0	A
USGS	11264500	1916-01-06									40.0	A
USGS	11264500	1916-01-07									47.0	A
USGS	11264500	1916-01-08									51.0	A
USGS	11264500	1916-01-09									89.0	A
USGS	11264500	1916-01-10									30.0	A
USGS	11264500	1916-01-11									21.0	A
USGS	11264500	1916-01-12									42.0	A
USGS	11264500	1916-01-13									57.0	A
USGS	11264500	1916-01-14									79.0	A
USGS	11264500	1916-01-15									63.0	A
USGS	11264500	1916-01-16									51.0	A
USGS	11264500	1916-01-17									136	A
USGS	11264500	1916-01-18									215	A
USGS	11264500	1916-01-19									163	A
USGS	11264500	1916-01-20									136	A
USGS	11264500	1916-01-21									104	A
USGS	11264500	1916-01-22									97.0	A
USGS	11264500	1916-01-23									97.0	A
USGS	11264500	1916-01-24									104	A
USGS	11264500	1916-01-25									97.0	A
USGS	11264500	1916-01-26									90.0	A
USGS	11264500	1916-01-27									97.0	A
USGS	11264500	1916-01-28									97.0	A
USGS	11264500	1916-01-29									97.0	A
USGS	11264500	1916-01-30									90.0	A
USGS	11264500	1916-01-31									89.0	A
USGS	11264500	1916-02-01									88.0	A
USGS	11264500	1916-02-02									87.0	A
USGS	11264500	1916-02-03									79.0	A
USGS	11264500	1916-02-04									83.0	A
USGS	11264500	1916-02-05									79.0	A
USGS	11264500	1916-02-06									79.0	A
USGS	11264500	1916-02-07									79.0	A
USGS	11264500	1916-02-08									79.0	A
USGS	11264500	1916-02-09									79.0	A
USGS	11264500	1916-02-10									76.0	A
USGS	11264500	1916-02-11									79.0	A
USGS	11264500	1916-02-12									87.0	A
USGS	11264500	1916-02-13									90.0	A
USGS	11264500	1916-02-14									104	A
USGS	11264500	1916-02-15									112	A
USGS	11264500	1916-02-16									145	A
USGS	11264500	1916-02-17									136	A
USGS	11264500	1916-02-18									154	A
USGS	11264500	1916-02-19									154	A
USGS	11264500	1916-02-20									154	A
USGS	11264500	1916-02-21									154	A
USGS	11264500	1916-02-22									136	A
USGS	11264500	1916-02-23									128	A
USGS	11264500	1916-02-24									120	A
USGS	11264500	1916-02-25									128	A
USGS	11264500	1916-02-26									136	A
USGS	11264500	1916-02-27									154	A
USGS	11264500	1916-02-28									136	A
USGS	11264500	1916-02-29									136	A
USGS	11264500	1916-03-01									136	A
USGS	11264500	1916-03-02									120	A
USGS	11264500	1916-03-03									120	A
USGS	11264500	1916-03-04									120	A
USGS	11264500	1916-03-05									112	A
USGS	11264500	1916-03-06									120	A
USGS	11264500	1916-03-07									120	A
USGS	11264500	1916-03-08									145	A
USGS	11264500	1916-03-09									192	A
USGS	11264500	1916-03-10									265	A
USGS	11264500	1916-03-11									310	A
USGS	11264500	1916-03-12									360	A
USGS	11264500	1916-03-13									395	A
USGS	11264500	1916-03-14									378	A
USGS	11264500	1916-03-15									342	A
USGS	11264500	1916-03-16									430	A
USGS	11264500	1916-03-17									532	A
USGS	11264500	1916-03-18									700	A
USGS	11264500	1916-03-19									510	A
USGS	11264500	1916-03-20									750	A
USGS	11264500	1916-03-21									510	A
USGS	11264500	1916-03-22									430	A
USGS	11264500	1916-03-23									412	A
USGS	11264500	1916-03-24									325	A
USGS	11264500	1916-03-25									325	A
USGS	11264500	1916-03-26									295	A
USGS	11264500	1916-03-27									310	A
USGS	11264500	1916-03-28									378	A
USGS	11264500	1916-03-29									430	A
USGS	11264500	1916-03-30									430	A
USGS	11264500	1916-03-31									430	A
USGS	11264500	1916-04-01									510	A
USGS	11264500	1916-04-02									555	A
USGS	11264500	1916-04-03									430	A
USGS	11264500	1916-04-04									430	A
USGS	11264500	1916-04-05									430	A
USGS	11264500	1916-04-06									510	A
USGS	11264500	1916-04-07									600	A
USGS	11264500	1916-04-08									750	A
USGS	11264500	1916-04-09									920	A
USGS	11264500	1916-04-10									1050	A
USGS	11264500	1916-04-11									1120	A
USGS	11264500	1916-04-12									805	A
USGS	11264500	1916-04-13									650	A
USGS	11264500	1916-04-14									805	A
USGS	11264500	1916-04-15									860	A
USGS	11264500	1916-04-16									920	A
USGS	11264500	1916-04-17									920	A
USGS	11264500	1916-04-18									860	A
USGS	11264500	1916-04-19									750	A
USGS	11264500	1916-04-20									860	A
USGS	11264500	1916-04-21									1050	A
USGS	11264500	1916-04-22									1050	A
USGS	11264500	1916-04-23									1200	A
USGS	11264500	1916-04-24									1350	A
USGS	11264500	1916-04-25									1350	A
USGS	11264500	1916-04-26									1520	A
USGS	11264500	1916-04-27									1690	A
USGS	11264500	1916-04-28									1690	A
USGS	11264500	1916-04-29									1690	A
USGS	11264500	1916-04-30									1520	A
USGS	11264500	1916-05-01									1430	A
USGS	11264500	1916-05-02									1520	A
USGS	11264500	1916-05-03									1780	A
USGS	11264500	1916-05-04									2080	A
USGS	11264500	1916-05-05									2280	A
USGS	11264500	1916-05-06									2080	A
USGS	11264500	1916-05-07									1780	A
USGS	11264500	1916-05-08									1690	A
USGS	11264500	1916-05-09									1780	A
USGS	11264500	1916-05-10									1690	A
USGS	11264500	1916-05-11									1690	A
USGS	11264500	1916-05-12									1690	A
USGS	11264500	1916-05-13									1430	A
USGS	11264500	1916-05-14									1350	A
USGS	11264500	1916-05-15									1350	A
USGS	11264500	1916-05-16									1350	A
USGS	11264500	1916-05-17									1120	A
USGS	11264500	1916-05-18									1430	A
USGS	11264500	1916-05-19									1200	A
USGS	11264500	1916-05-20									920	A
USGS	11264500	1916-05-21									1120	A
USGS	11264500	1916-05-22									1520	A
USGS	11264500	1916-05-23									1350	A
USGS	11264500	1916-05-24									920	A
USGS	11264500	1916-05-25									805	A
USGS	11264500	1916-05-26									700	A
USGS	11264500	1916-05-27									860	A
USGS	11264500	1916-05-28									920	A
USGS	11264500	1916-05-29									1350	A
USGS	11264500	1916-05-30									1520	A
USGS	11264500	1916-05-31									1200	A
USGS	11264500	1916-06-01									1200	A
USGS	11264500	1916-06-02									1200	A
USGS	11264500	1916-06-03									1270	A
USGS	11264500	1916-06-04									920	A
USGS	11264500	1916-06-05									1690	A
USGS	11264500	1916-06-06									2080	A
USGS	11264500	1916-06-07									2280	A
USGS	11264500	1916-06-08									1880	A
USGS	11264500	1916-06-09									1880	A
USGS	11264500	1916-06-10									2280	A
USGS	11264500	1916-06-11									2280	A
USGS	11264500	1916-06-12									2180	A
USGS	11264500	1916-06-13									2080	A
USGS	11264500	1916-06-14									2080	A
USGS	11264500	1916-06-15									2180	A
USGS	11264500	1916-06-16									2180	A
USGS	11264500	1916-06-17									2280	A
USGS	11264500	1916-06-18									1880	A
USGS	11264500	1916-06-19									1690	A
USGS	11264500	1916-06-20									1600	A
USGS	11264500	1916-06-21									1430	A
USGS	11264500	1916-06-22									1520	A
USGS	11264500	1916-06-23									1350	A
USGS	11264500	1916-06-24									1520	A
USGS	11264500	1916-06-25									1350	A
USGS	11264500	1916-06-26									1520	A
USGS	11264500	1916-06-27									1600	A
USGS	11264500	1916-06-28									1350	A
USGS	11264500	1916-06-29									985	A
USGS	11264500	1916-06-30									985	A
USGS	11264500	1916-07-01									920	A
USGS	11264500	1916-07-02									860	A
USGS	11264500	1916-07-03									860	A
USGS	11264500	1916-07-04									860	A
USGS	11264500	1916-07-05									1120	A
USGS	11264500	1916-07-06									1120	A
USGS	11264500	1916-07-07									1120	A
USGS	11264500	1916-07-08									1120	A
USGS	11264500	1916-07-09									805	A
USGS	11264500	1916-07-10									920	A
USGS	11264500	1916-07-11									985	A
USGS	11264500	1916-07-12									985	A
USGS	11264500	1916-07-13									860	A
USGS	11264500	1916-07-14									920	A
USGS	11264500	1916-07-15									750	A
USGS	11264500	1916-07-16									700	A
USGS	11264500	1916-07-17									625	A
USGS	11264500	1916-07-18									555	A
USGS	11264500	1916-07-19									555	A
USGS	11264500	1916-07-20									555	A
USGS	11264500	1916-07-21									532	A
USGS	11264500	1916-07-22									532	A
USGS	11264500	1916-07-23									578	A
USGS	11264500	1916-07-24									470	A
USGS	11264500	1916-07-25									412	A
USGS	11264500	1916-07-26									412	A
USGS	11264500	1916-07-27									325	A
USGS	11264500	1916-07-28									295	A
USGS	11264500	1916-07-29									240	A
USGS	11264500	1916-07-30									204	A
USGS	11264500	1916-07-31									215	A
USGS	11264500	1916-08-01									215	A
USGS	11264500	1916-08-02									215	A
USGS	11264500	1916-08-03									265	A
USGS	11264500	1916-08-04									265	A
USGS	11264500	1916-08-05									265	A
USGS	11264500	1916-08-06									215	A
USGS	11264500	1916-08-07									154	A
USGS	11264500	1916-08-08									145	A
USGS	11264500	1916-08-09									136	A
USGS	11264500	1916-08-10									136	A
USGS	11264500	1916-08-11									128	A
USGS	11264500	1916-08-12									136	A
USGS	11264500	1916-08-13									136	A
USGS	11264500	1916-08-14									120	A
USGS	11264500	1916-08-15									120	A
USGS	11264500	1916-08-16									120	A
USGS	11264500	1916-08-17									104	A
USGS	11264500	1916-08-18									90.0	A
USGS	11264500	1916-08-19									90.0	A
USGS	11264500	1916-08-20									83.0	A
USGS	11264500	1916-08-21									83.0	A
USGS	11264500	1916-08-22									83.0	A
USGS	11264500	1916-08-23									90.0	A
USGS	11264500	1916-08-24									104	A
USGS	11264500	1916-08-25									97.0	A
USGS	11264500	1916-08-26									104	A
USGS	11264500	1916-08-27									154	A
USGS	11264500	1916-08-28									192	A
USGS	11264500	1916-08-29									215	A
USGS	11264500	1916-08-30									204	A
USGS	11264500	1916-08-31									136	A
USGS	11264500	1916-09-01									120	A
USGS	11264500	1916-09-02									112	A
USGS	11264500	1916-09-03									104	A
USGS	11264500	1916-09-04									90.0	A
USGS	11264500	1916-09-05									73.0	A
USGS	11264500	1916-09-06									66.0	A
USGS	11264500	1916-09-07									53.0	A
USGS	11264500	1916-09-08									38.0	A
USGS	11264500	1916-09-09									33.0	A
USGS	11264500	1916-09-10									46.0	A
USGS	11264500	1916-09-11									40.0	A
USGS	11264500	1916-09-12									40.0	A
USGS	11264500	1916-09-13									38.0	A
USGS	11264500	1916-09-14									25.0	A
USGS	11264500	1916-09-15									24.0	A
USGS	11264500	1916-09-16									24.0	A
USGS	11264500	1916-09-17									18.0	A
USGS	11264500	1916-09-18									24.0	A
USGS	11264500	1916-09-19									18.0	A
USGS	11264500	1916-09-20									18.0	A
USGS	11264500	1916-09-21									18.0	A
USGS	11264500	1916-09-22									31.0	A
USGS	11264500	1916-09-23									70.0	A
USGS	11264500	1916-09-24									76.0	A
USGS	11264500	1916-09-25									63.0	A
USGS	11264500	1916-09-26									46.0	A
USGS	11264500	1916-09-27									38.0	A
USGS	11264500	1916-09-28									25.0	A
USGS	11264500	1916-09-29									14.0	A
USGS	11264500	1916-09-30									36.0	A
USGS	11264500	1916-10-01									145	A
USGS	11264500	1916-10-02									295	A
USGS	11264500	1916-10-03									295	A
USGS	11264500	1916-10-04									215	A
USGS	11264500	1916-10-05									215	A
USGS	11264500	1916-10-06									192	A
USGS	11264500	1916-10-07									192	A
USGS	11264500	1916-10-08									192	A
USGS	11264500	1916-10-09									192	A
USGS	11264500	1916-10-10									192	A
USGS	11264500	1916-10-11									204	A
USGS	11264500	1916-10-12									192	A
USGS	11264500	1916-10-13									215	A
USGS	11264500	1916-10-14									215	A
USGS	11264500	1916-10-15									215	A
USGS	11264500	1916-10-16									228	A
USGS	11264500	1916-10-17									252	A
USGS	11264500	1916-10-18									215	A
USGS	11264500	1916-10-19									192	A
USGS	11264500	1916-10-20									172	A
USGS	11264500	1916-10-21									172	A
USGS	11264500	1916-10-22									154	A
USGS	11264500	1916-10-23									136	A
USGS	11264500	1916-10-24									128	A
USGS	11264500	1916-10-25									104	A
USGS	11264500	1916-10-26									104	A
USGS	11264500	1916-10-27									97.0	A
USGS	11264500	1916-10-28									90.0	A
USGS	11264500	1916-10-29									83.0	A
USGS	11264500	1916-10-30									79.0	A
USGS	11264500	1916-10-31									76.0	A
USGS	11264500	1916-11-01									73.0	A
USGS	11264500	1916-11-02									66.0	A
USGS	11264500	1916-11-03									65.0	A
USGS	11264500	1916-11-04									60.0	A
USGS	11264500	1916-11-05									66.0	A
USGS	11264500	1916-11-06									78.0	A
USGS	11264500	1916-11-07									86.0	A
USGS	11264500	1916-11-08									85.0	A
USGS	11264500	1916-11-09									90.0	A
USGS	11264500	1916-11-10									95.0	A
USGS	11264500	1916-11-11									97.0	A
USGS	11264500	1916-11-12									76.0	A
USGS	11264500	1916-11-13									66.0	A
USGS	11264500	1916-11-14									65.0	A
USGS	11264500	1916-11-15									61.0	A
USGS	11264500	1916-11-16									58.0	A
USGS	11264500	1916-11-17									54.0	A
USGS	11264500	1916-11-18									51.0	A
USGS	11264500	1916-11-19									47.0	A
USGS	11264500	1916-11-20									43.0	A
USGS	11264500	1916-11-21									44.0	A
USGS	11264500	1916-11-22									43.0	A
USGS	11264500	1916-11-23									42.0	A
USGS	11264500	1916-11-24									40.0	A
USGS	11264500	1916-11-25									35.0	A
USGS	11264500	1916-11-26									41.0	A
USGS	11264500	1916-11-27									42.0	A
USGS	11264500	1916-11-28									40.0	A
USGS	11264500	1916-11-29									39.0	A
USGS	11264500	1916-11-30									39.0	A
USGS	11264500	1916-12-01									39.0	A
USGS	11264500	1916-12-02									41.0	A
USGS	11264500	1916-12-03									50.0	A
USGS	11264500	1916-12-04									64.0	A
USGS	11264500	1916-12-05									71.0	A
USGS	11264500	1916-12-06									60.0	A
USGS	11264500	1916-12-07									57.0	A
USGS	11264500	1916-12-08									61.0	A
USGS	11264500	1916-12-09									54.0	A
USGS	11264500	1916-12-10									52.0	A
USGS	11264500	1916-12-11									52.0	A
USGS	11264500	1916-12-12									52.0	A
USGS	11264500	1916-12-13									52.0	A
USGS	11264500	1916-12-14									49.0	A
USGS	11264500	1916-12-15									47.0	A
USGS	11264500	1916-12-16									45.0	A
USGS	11264500	1916-12-17									44.0	A
USGS	11264500	1916-12-18									43.0	A
USGS	11264500	1916-12-19									43.0	A
USGS	11264500	1916-12-20									44.0	A
USGS	11264500	1916-12-21									42.0	A
USGS	11264500	1916-12-22									36.0	A
USGS	11264500	1916-12-23									38.0	A
USGS	11264500	1916-12-24									39.0	A
USGS	11264500	1916-12-25									40.0	A
USGS	11264500	1916-12-26									62.0	A
USGS	11264500	1916-12-27									67.0	A
USGS	11264500	1916-12-28									58.0	A
USGS	11264500	1916-12-29									56.0	A
USGS	11264500	1916-12-30									46.0	A
USGS	11264500	1916-12-31									35.0	A
USGS	11264500	1917-01-01									36.0	A
USGS	11264500	1917-01-02									29.0	A
USGS	11264500	1917-01-03									29.0	A
USGS	11264500	1917-01-04									29.0	A
USGS	11264500	1917-01-05									29.0	A
USGS	11264500	1917-01-06									32.0	A
USGS	11264500	1917-01-07									31.0	A
USGS	11264500	1917-01-08									27.0	A
USGS	11264500	1917-01-09									26.0	A
USGS	11264500	1917-01-10									27.0	A
USGS	11264500	1917-01-11									29.0	A
USGS	11264500	1917-01-12									29.0	A
USGS	11264500	1917-01-13									26.0	A
USGS	11264500	1917-01-14									25.0	A
USGS	11264500	1917-01-15									27.0	A
USGS	11264500	1917-01-16									45.0	A
USGS	11264500	1917-01-17									48.0	A
USGS	11264500	1917-01-18									45.0	A
USGS	11264500	1917-01-19									43.0	A
USGS	11264500	1917-01-20									42.0	A
USGS	11264500	1917-01-21									42.0	A
USGS	11264500	1917-01-22									40.0	A
USGS	11264500	1917-01-23									39.0	A
USGS	11264500	1917-01-24									41.0	A
USGS	11264500	1917-01-25									43.0	A
USGS	11264500	1917-01-26									46.0	A
USGS	11264500	1917-01-27									48.0	A
USGS	11264500	1917-01-28									46.0	A
USGS	11264500	1917-01-29									47.0	A
USGS	11264500	1917-01-30									46.0	A
USGS	11264500	1917-01-31									45.0	A
USGS	11264500	1917-02-01									44.0	A
USGS	11264500	1917-02-02									43.0	A
USGS	11264500	1917-02-03									45.0	A
USGS	11264500	1917-02-04									50.0	A
USGS	11264500	1917-02-05									53.0	A
USGS	11264500	1917-02-06									59.0	A
USGS	11264500	1917-02-07									60.0	A
USGS	11264500	1917-02-08									62.0	A
USGS	11264500	1917-02-09									63.0	A
USGS	11264500	1917-02-10									62.0	A
USGS	11264500	1917-02-11									63.0	A
USGS	11264500	1917-02-12									61.0	A
USGS	11264500	1917-02-13									58.0	A
USGS	11264500	1917-02-14									57.0	A
USGS	11264500	1917-02-15									55.0	A
USGS	11264500	1917-02-16									54.0	A
USGS	11264500	1917-02-17									53.0	A
USGS	11264500	1917-02-18									52.0	A
USGS	11264500	1917-02-19									55.0	A
USGS	11264500	1917-02-20									51.0	A
USGS	11264500	1917-02-21									38.0	A
USGS	11264500	1917-02-22									48.0	A
USGS	11264500	1917-02-23									73.0	A
USGS	11264500	1917-02-24									100	A
USGS	11264500	1917-02-25									128	A
USGS	11264500	1917-02-26									121	A
USGS	11264500	1917-02-27									125	A
USGS	11264500	1917-02-28									126	A
USGS	11264500	1917-03-01									120	A
USGS	11264500	1917-03-02									117	A
USGS	11264500	1917-03-03									108	A
USGS	11264500	1917-03-04									102	A
USGS	11264500	1917-03-05									98.0	A
USGS	11264500	1917-03-06									100	A
USGS	11264500	1917-03-07									101	A
USGS	11264500	1917-03-08									102	A
USGS	11264500	1917-03-09									100	A
USGS	11264500	1917-03-10									88.0	A
USGS	11264500	1917-03-11									88.0	A
USGS	11264500	1917-03-12									89.0	A
USGS	11264500	1917-03-13									89.0	A
USGS	11264500	1917-03-14									89.0	A
USGS	11264500	1917-03-15									74.0	A
USGS	11264500	1917-03-16									75.0	A
USGS	11264500	1917-03-17									76.0	A
USGS	11264500	1917-03-18									84.0	A
USGS	11264500	1917-03-19									83.0	A
USGS	11264500	1917-03-20									92.0	A
USGS	11264500	1917-03-21									97.0	A
USGS	11264500	1917-03-22									88.0	A
USGS	11264500	1917-03-23									85.0	A
USGS	11264500	1917-03-24									95.0	A
USGS	11264500	1917-03-25									118	A
USGS	11264500	1917-03-26									151	A
USGS	11264500	1917-03-27									176	A
USGS	11264500	1917-03-28									241	A
USGS	11264500	1917-03-29									288	A
USGS	11264500	1917-03-30									242	A
USGS	11264500	1917-03-31									195	A
USGS	11264500	1917-04-01									178	A
USGS	11264500	1917-04-02									183	A
USGS	11264500	1917-04-03									175	A
USGS	11264500	1917-04-04									223	A
USGS	11264500	1917-04-05									328	A
USGS	11264500	1917-04-06									395	A
USGS	11264500	1917-04-07									495	A
USGS	11264500	1917-04-08									538	A
USGS	11264500	1917-04-09									426	A
USGS	11264500	1917-04-10									348	A
USGS	11264500	1917-04-11									357	A
USGS	11264500	1917-04-12									402	A
USGS	11264500	1917-04-13									400	A
USGS	11264500	1917-04-14									386	A
USGS	11264500	1917-04-15									324	A
USGS	11264500	1917-04-16									284	A
USGS	11264500	1917-04-17									257	A
USGS	11264500	1917-04-18									234	A
USGS	11264500	1917-04-19									235	A
USGS	11264500	1917-04-20									265	A
USGS	11264500	1917-04-21									285	A
USGS	11264500	1917-04-22									428	A
USGS	11264500	1917-04-23									572	A
USGS	11264500	1917-04-24									770	A
USGS	11264500	1917-04-25									1040	A
USGS	11264500	1917-04-26									1130	A
USGS	11264500	1917-04-27									1040	A
